,cuento,link,title
0,"Abel y Caín se encontraron después de la muerte de Abel. Caminaban por el desierto y se reconocieron desde lejos, porque los dos eran muy altos. Los hermanos se sentaron en la tierra, hicieron un fuego y comieron. Guardaban silencio, a la manera de la gente cansada cuando declina el día. En el cielo asomaba alguna estrella, que aún no había recibido su nombre. A la luz de las llamas, Caín advirtió en la frente de Abel la marca de la piedra y dejó caer el pan que estaba por llevarse a la boca y pidió que le fuera perdonado su crimen.
Abel contestó:
—¿Tú me has matado o yo te he matado? Ya no recuerdo; aquí estamos juntos como antes.
—Ahora sé que en verdad me has perdonado —dijo Caín—, porque olvidar es perdonar. Yo trataré también de olvidar.
Abel dijo despacio:
—Así es. Mientras dura el remordimiento dura la culpa.
FIN",http://ciudadseva.com/texto/abel-y-cain-borges/,Abel y Caín
1,"Era muy lindo, un pueblo laberíntico. A veces, algunas noches de verano, salíamos mi padre, mi madre y yo a perdernos. Al principio nos costaba un poco de trabajo, pero luego nos perfeccionamos tanto que nos perdíamos enseguida.
FIN",http://ciudadseva.com/texto/adrogue/,Adrogué
2,"¿Qué soñará el indescifrable futuro? Soñará que Alonso Quijano puede ser don Quijote sin dejar su aldea y sus libros. Soñará que una víspera de Ulises puede ser más pródiga que el poema que narra sus trabajos. Soñará generaciones humanas que no reconocerán el nombre de Ulises. Soñará sueños más precisos que la vigilia de hoy. Soñará que podremos hacer milagros y que no los haremos, porque será más real imaginarlos. Soñará mundos tan intensos que la voz de una sola de sus aves podría matarte. Soñará que el olvido y la memoria pueden ser actos voluntarios, no agresiones o dádivas del azar. Soñará que veremos con todo el cuerpo, como quería Milton desde la sombra de esos tiernos orbes, los ojos. Soñará un mundo sin la máquina y sin esa doliente máquina, el cuerpo. La vida no es un sueño pero puede llegar a ser un sueño, escribe Novalis.
FIN",http://ciudadseva.com/texto/alguien-sonara/,Alguien soñará
3,"Los años le han dejado unas palabras en guaraní, que sabe usar cuando la ocasión lo requiere, pero que no podría traducir sin algún trabajo. Los otros soldados lo aceptan, pero algunos (no todos) sienten que algo ajeno hay en él, como si fuera hereje o infiel o padeciera un mal. Este rechazo lo fastidia menos que el interés de los reclutas.
No es bebedor, pero suele achisparse los sábados. Tiene la costumbre del mate, que puebla de algún modo la soledad. Las mujeres no lo quieren y él no las busca. Tiene un hijo en Dolores. Hace años que no sabe nada de él, a la manera de la gente sencilla que no se escribe. No es hombre de buena conversación, pero suele contar, siempre con las mismas palabras, aquella larga marcha de tantas leguas desde Junín hasta San Carlos.Quizá la cuenta con las mismas palabras, porque las sabe de memoria y ha olvidado los hechos.
No tiene catre. Duerme sobre el recado y no sabe qué cosa es la pesadilla. Tiene la conciencia tranquila. Se ha limitado a cumplir órdenes. Goza de la confianza de sus jefes. Es el degollador. Ha perdido la cuenta de las veces que ha visto el alba en el desierto. Ha perdido la cuenta de las gargantas, pero no olvidará la primera y los visajes que hizo el pampa.
Nunca lo ascenderán. No debe llamar la atención. En su provincia fue domador. Ya es incapaz de jinetear un bagual, pero le gustan los caballos y los entiende.
Es amigo de un indio.
FIN",http://ciudadseva.com/texto/andres-armoa/,Andrés Armoa
4,"Cierro los ojos y veo una bandada de pájaros. La visión dura un segundo o acaso menos; no sé cuántos pájaros vi. ¿Era definido o indefinido su número? El problema involucra el de la existencia de Dios. Si Dios existe, el número es definido, porque Dios sabe cuántos pájaros vi. Si Dios no existe, el número es indefinido, porque nadie pudo llevar la cuenta. En tal caso, vi menos de diez pájaros (digamos) y más de uno, pero no vi nueve, ocho, siete, seis, cinco, cuatro, tres o dos pájaros. Vi un número entre diez y uno, que no es nueve, ocho, siete, seis, cinco, etcétera. Ese número entero es inconcebible; ergo, Dios existe.
FIN",http://ciudadseva.com/texto/argumentum-ornithologicum/,Argumentum ornithologicum
5,"El seis de febrero de 1829, los montoneros que, hostigados ya por Lavalle, marchaban desde el Sur para incorporarse a las divisiones de López, hicieron alto en una estancia cuyo nombre ignoraban, a tres o cuatro leguas del Pergamino; hacia el alba, uno de los hombres tuvo una pesadilla tenaz: en la penumbra del galpón, el confuso grito despertó a la mujer que dormía con él. Nadie sabe lo que soñó, pues al otro día, a las cuatro, los montoneros fueron desbaratados por la caballería de Suárez y la persecución duró nueve leguas, hasta los pajonales ya lóbregos, y el hombre pereció en una zanja, partido el cráneo por un sable de las guerras del Perú y del Brasil. La mujer se llamaba Isidora Cruz; el hijo que tuvo recibió el nombre de Tadeo Isidoro.
Mi propósito no es repetir su historia. De los días y noches que la componen, solo me interesa una noche; del resto no referiré sino lo indispensable para que esa noche se entienda. La aventura consta en un libro insigne; es decir, en un libro cuya materia puede ser todo para todos (1 Corintios 9:22), pues es capaz de casi inagotables repeticiones, versiones, perversiones. Quienes han comentado, y son muchos, la historia de Tadeo Isidoro, destacan el influjo de la llanura sobre su formación, pero gauchos idénticos a él nacieron y murieron en las selváticas riberas del Paraná y en las cuchillas orientales. Vivió, eso sí, en un mundo de barbarie monótona. Cuando, en 1874, murió de una viruela negra, no había visto jamás una montaña ni un pico de gas ni un molino. Tampoco una ciudad. En 1849, fue a Buenos Aires con una tropa del establecimiento de Francisco Xavier Acevedo; los troperos entraron en la ciudad para vaciar el cinto: Cruz, receloso, no salió de una fonda en el vecindario de los corrales. Pasó ahí muchos días, taciturno, durmiendo en la tierra, mateando, levantándose al alba y recogiéndose a la oración. Comprendió (más allá de las palabras y aun del entendimiento) que nada tenía que ver con él la ciudad. Uno de los peones, borracho, se burló de él. Cruz no le replicó, pero en las noches del regreso, junto al fogón, el otro menudeaba las burlas, y entonces Cruz (que antes no había demostrado rencor, ni siquiera disgusto) lo tendió de una puñalada. Prófugo, hubo de guarecerse en un fachinal: noches después, el grito de un chajá le advirtió que lo había cercado la policía. Probó el cuchillo en una mata: para que no le estorbaran en la de a pie, se quitó las espuelas. Prefirió pelear a entregarse. Fue herido en el antebrazo, en el hombro, en la mano izquierda; malhirió a los más bravos de la partida; cuando la sangre le corrió entre los dedos, peleó con más coraje que nunca; hacia el alba, mareado por la pérdida de sangre, lo desarmaron. El ejército, entonces, desempeñaba una función penal; Cruz fue destinado a un fortín de la frontera Norte. Como soldado raso, participó en las guerras civiles; a veces combatió por su provincia natal, a veces en contra. El veintitrés de enero de 1856, en las Lagunas de Cardoso, fue uno de los treinta cristianos que, al mando del sargento mayor Eusebio Laprida, pelearon contra doscientos indios. En esa acción recibió una herida de lanza.
En su oscura y valerosa historia abundan los hiatos. Hacia 1868 lo sabemos de nuevo en el Pergamino: casado o amancebado, padre de un hijo, dueño de una fracción de campo. En 1869 fue nombrado sargento de la policía rural. Había corregido el pasado; en aquel tiempo debió de considerarse feliz, aunque profundamente no lo era. (Lo esperaba, secreta en el porvenir, una lúcida noche fundamental: la noche en que por fin vio su propia cara, la noche que por fin oyó su nombre. Bien entendida, esa noche agota su historia; mejor dicho, un instante de esa noche, un acto de esa noche, porque los actos son nuestro símbolo.) Cualquier destino, por largo y complicado que sea, consta en realidad de un solo momento: el momento en que el hombre sabe para siempre quién es. Cuéntase que Alejandro de Macedonia vio reflejado su futuro de hierro en la fabulosa historia de Aquiles; Carlos XII de Suecia, en la de Alejandro. A Tadeo Isidoro Cruz, que no sabía leer, ese conocimiento no le fue revelado en un libro; se vio a sí mismo en un entrevero y un hombre. Los hechos ocurrieron así:
En los últimos días del mes de junio de 1870, recibió la orden de apresar a un malevo, que debía dos muertes a la justicia. Era este un desertor de las fuerzas que en la frontera Sur mandaba el coronel Benito Machado; en una borrachera, había asesinado a un moreno en un lupanar; en otra, a un vecino del partido de Rojas; el informe agregaba que procedía de la Laguna Colorada. En este lugar, hacía cuarenta años, habíanse congregado los montoneros para la desventura que dio sus carnes a los pájaros y a los perros; de ahí salió Manuel Mesa, que fue ejecutado en la plaza de la Victoria, mientras los tambores sonaban para que no se oyera su ira; de ahí, el desconocido que engendró a Cruz y que pereció en una zanja, partido el cráneo por un sable de las batallas del Perú y del Brasil. Cruz había olvidado el nombre del lugar; con leve pero inexplicable inquietud lo reconoció… El criminal, acosado por los soldados, urdió a caballo un largo laberinto de idas y de venidas; estos, sin embargo lo acorralaron la noche del doce de julio. Se había guarecido en un pajonal. La tiniebla era casi indescifrable; Cruz y los suyos, cautelosos y a pie, avanzaron hacia las matas en cuya hondura trémula acechaba o dormía el hombre secreto. Gritó un chajá; Tadeo Isidoro Cruz tuvo la impresión de haber vivido ya ese momento. El criminal salió de la guarida para pelearlos. Cruz lo entrevió, terrible; la crecida melena y la barba gris parecían comerle la cara. Un motivo notorio me veda referir la pelea. Básteme recordar que el desertor malhirió o mató a varios de los hombres de Cruz. Este, mientras combatía en la oscuridad (mientras su cuerpo combatía en la oscuridad), empezó a comprender. Comprendió que un destino no es mejor que otro, pero que todo hombre debe acatar el que lleva adentro. Comprendió que las jinetas y el uniforme ya lo estorbaban. Comprendió su íntimo destino de lobo, no de perro gregario; comprendió que el otro era él. Amanecía en la desaforada llanura; Cruz arrojó por tierra el quepis, gritó que no iba a consentir el delito de que se matara a un valiente y se puso a pelear contra los soldados junto al desertor Martín Fierro.
FIN
El aleph, 1949",http://ciudadseva.com/texto/biografia-de-tadeo-isidoro-cruz-1829-1874/,Biografía de Tadeo Isidoro Cruz (1829-1874)
6,"Al otro, a Borges, es a quien le ocurren las cosas. Yo camino por Buenos Aires y me demoro, acaso ya mecánicamente, para mirar el arco de un zaguán y la puerta cancel; de Borges tengo noticias por el correo y veo su nombre en una terna de profesores o en un diccionario biográfico. Me gustan los relojes de arena, los mapas, la tipografía del siglo XVII, las etimologías, el sabor del café y la prosa de Stevenson; el otro comparte esas preferencias, pero de un modo vanidoso que las convierte en atributos de un actor. Sería exagerado afirmar que nuestra relación es hostil; yo vivo, yo me dejo vivir para que Borges pueda tramar su literatura y esa literatura me justifica. Nada me cuesta confesar que ha logrado ciertas páginas válidas, pero esas páginas no me pueden salvar, quizá porque lo bueno ya no es de nadie, ni siquiera del otro, sino del lenguaje o la tradición. Por lo demás, yo estoy destinado a perderme, definitivamente, y solo algún instante de mí podrá sobrevivir en el otro. Poco a poco voy cediéndole todo, aunque me consta su perversa costumbre de falsear y magnificar. Spinoza entendió que todas las cosas quieren perseverar en su ser; la piedra eternamente quiere ser piedra y el tigre un tigre. Yo he de quedar en Borges, no en mí (si es que alguien soy), pero me reconozco menos en sus libros que en muchos otros o que en el laborioso rasgueo de una guitarra. Hace años yo traté de librarme de él y pasé de las mitologías del arrabal a los juegos con el tiempo y con lo infinito, pero esos juegos son de Borges ahora y tendré que idear otras
cosas. Así mi vida es una fuga y todo lo pierdo y todo es del olvido, o del otro. No sé cuál de los dos escribe esta página.
FIN
1988",http://ciudadseva.com/texto/borges-y-yo/,Borges y yo
7,"En aquel Imperio, el Arte de la Cartografía logró tal Perfección que el mapa de una sola Provincia ocupaba toda una Ciudad, y el mapa del Imperio, toda una Provincia. Con el tiempo, estos Mapas Desmesurados no satisficieron y los Colegios de Cartógrafos levantaron un Mapa del Imperio, que tenía el tamaño del Imperio y coincidía puntualmente con él.
Menos Adictas al Estudio de la Cartografía, las Generaciones Siguientes entendieron que ese dilatado Mapa era Inútil y no sin Impiedad lo entregaron a las Inclemencias del Sol y los Inviernos. En los desiertos del Oeste perduran despedazadas Ruinas del Mapa, habitadas por Animales y por Mendigos; en todo el País no hay otra reliquia de las Disciplinas Geográficas.
Suárez Miranda, Viajes de Varones Prudentes, Libro Cuarto, Cap. XLV, Lérida, 1658.
FIN",http://ciudadseva.com/texto/del-rigor-en-la-ciencia/,Del Rigor en la Ciencia
8,"A- Distraídos en razonar la inmortalidad, habíamos dejado que anocheciera sin encender la lámpara. No nos veíamos las caras. Con una indiferencia y una dulzura más convincentes que el fervor, la voz de Macedonio Fernández repetía que el alma es inmortal. Me aseguraba que la muerte del cuerpo es del todo insignificante y que morirse tiene que ser el hecho más nulo que puede sucederle a un hombre. Yo jugaba con la navaja de Macedonio; la abría y la cerraba. Un acordeón vecino despachaba infinitamente la Cumparsita, esa pamplina consternada que les gusta a muchas personas, porque les mintieron que es vieja… Yo le propuse a Macedonio que nos suicidáramos, para discutir sin estorbo.
Z (burlón)- Pero sospecho que al final no se resolvieron
A (ya en plena mística)- Francamente no recuerdo si esa noche nos suicidamos.
FIN",http://ciudadseva.com/texto/dialogo-sobre-un-dialogo/,Diálogo sobre un diálogo
9,"En Sumatra, alguien quiere doctorarse de adivino. El brujo examinador le pregunta si será reprobado o si pasará. El candidato responde que será reprobado…
FIN",http://ciudadseva.com/texto/el-adivino-2/,El adivino
