"","id","interes_politica","diario_mas_lee","grupos_influencia_su_opinion","autoposicionamiento_ideologico","autoposicionamiento_partidario","eval_gestion_NK","eval_futura_situacion_pais","progresismo_conservadurismo","nivel_nacionalismo","voto_comparado","voto_anterior_presidencial_2007","voto_anterior_caba_2006","pogr_estado_propietario_empresas","pogr_estado_interventor","cons_universidades_estatales_aranceladas","progr_adopcion_parejas_gay","cons_aumentar_penas","cons_bajar_edad_imputabilidad","pogr_control_precios_estado","sexo","edad","estud","trabajo","distrito","salud","pon","R_interes_politica","R_autoposicionamiento_ideologico","R_eval_gestion_NK","R_progresismo_conservadurismo","R_nacionalismo","R_pogr_estado_propietario_empresas","R_pogr_estado_interventor","R_cons_universidades_estatales_aranceladas","R_progr_adopcion_parejas_gay","R_cons_aumentar_penas","R_cons_bajar_edad_imputabilidad","R_pogr_control_precios_estado"
"1",1,"Poco interesado","La Nación","Su familia","Centroderecha","PRO","Regular positiva","Igual que ahora","Decididamente conservadora","Bastante nacionalista","Igual que su padre","Ricardo López Murphy","Mauricio Macri","Muy en desacuerdo","Muy en desacuerdo","Bastante de acuerdo","Muy en desacuerdo","Bastante de acuerdo","Muy de acuerdo","Muy en desacuerdo","Hombre","50 a 65años","Terciario/ universitario","Trabaja",1," Obra social",0.618227011084154,"1_No interesado","2_Derecha","2_Positiva","2_Progresista","2_Nacionalista","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"2",2,"Muy interesado","Página 12",NA,"Centroizquierda","Socialismo","Mala","Peor que ahora","No sabe","Muy nacionalista","Distinto que su padre","En blanco","En blanco","Muy de acuerdo","Bastante de acuerdo","Muy en desacuerdo","Bastante de acuerdo","Bastante de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Hombre","18 a 29 años","Terciario/ universitario","Trabaja",1,"Prepaga",0.741682107899907,"2_Interesado","1_Izquierda","2_Positiva","9_NS","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo"
"3",3,"Muy interesado","Página 12",NA,"Izquierda","Otros partidos","Buena","Mejor que ahora","Decididamente progresista","Nada nacionalista","Ns/Nc","Cristina Kirchner","Daniel Filmus","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Hombre","66 y más","Terciario/ universitario","Trabaja",1,"Prepaga",0.390135930420291,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","1_No nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"4",4,"Bastante interesado","No lee diarios","No sabe","No sabe","No sabe","Buena","Mejor que ahora","No sabe","Muy nacionalista","Ns/Nc","Cristina Kirchner","No sabe","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Bastante de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Mujer","66 y más","Primario","Es jubilado o pensionado",1," Obra social",1.34369084653868,"2_Interesado","9_NS","2_Positiva","9_NS","2_Nacionalista","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"5",5,"Bastante interesado","Perfil","Su familia","Centroderecha","PRO","Regular positiva","Mejor que ahora","Decididamente progresista","Muy nacionalista","Distinto que su padre","Ricardo López Murphy","Mauricio Macri","Muy en desacuerdo","Muy en desacuerdo","Bastante de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Hombre","50 a 65años","Secundario","Trabaja",1," Obra social",1.80685785289091,"2_Interesado","2_Derecha","2_Positiva","1_Conservador","2_Nacionalista","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"6",6,"Bastante interesado","Página 12","Su pareja","Izquierda","Socialismo","Regular positiva","Igual que ahora","Decididamente progresista","Nada nacionalista","Distinto que su padre","En blanco","Daniel Filmus","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Bastante de acuerdo","Algo en desacuerdo","Bastante de acuerdo","Hombre","18 a 29 años","Terciario/ universitario","Es estudiante",1,"Prepaga",0.741682107899907,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","1_No nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo"
"7",7,"Nada interesado","Clarín","Su familia","Centroizquierda","No sabe","Regular positiva","Igual que ahora","No sabe","Bastante nacionalista","Ns/Nc","No sabe","No sabe","Muy de acuerdo","Algo en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Hombre","18 a 29 años","Secundario","Trabaja",1," Obra social",2.16767322841093,"1_No interesado","1_Izquierda","2_Positiva","9_NS","2_Nacionalista","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"8",8,"Poco interesado","Clarín","Su familia","No sabe","Otros partidos","Regular positiva","Igual que ahora","Algo conservadora","Bastante nacionalista","Distinto que su padre","Elisa Carrió","Mauricio Macri","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Muy de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Mujer","18 a 29 años","Secundario","Está desocupado",1,"No tiene cobertura",1.49202078002418,"1_No interesado","9_NS","2_Positiva","2_Progresista","2_Nacionalista","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"9",9,"Bastante interesado","Clarín",NA,"Centroderecha","ARI","Regular positiva","Peor que ahora","Algo conservadora","Bastante nacionalista","Igual que su padre","Elisa Carrió","No sabe","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Algo en desacuerdo","Algo en desacuerdo","Algo en desacuerdo","Mujer","18 a 29 años","Terciario/ universitario","Trabaja",1,"Prepaga",0.510503660171152,"2_Interesado","2_Derecha","2_Positiva","2_Progresista","2_Nacionalista","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo"
"10",10,"Muy interesado","Clarín",NA,"Centroizquierda","Peronismo","Buena","Mejor que ahora","Decididamente progresista","Bastante nacionalista","Distinto que su padre","Cristina Kirchner","Daniel Filmus","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Algo en desacuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Hombre","30 a 49 años","Secundario","Trabaja",1," Obra social",2.31141595246858,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
