State,Gini
Alabama,0.476
Alaska,0.418
Arizona,0.468
Arkansas,0.471
California,0.489
Colorado,0.458
Connecticut,0.501
Delaware,0.449
Florida,0.483
Georgia,0.48
Hawaii,0.433
Idaho,0.454
Illinois,0.477
Indiana,0.446
Iowa,0.443
Kansas,0.46
Kentucky,0.47
Louisiana,0.49
Maine,0.459
Maryland,0.449
Massachusetts,0.486
Michigan,0.46
Minnesota,0.454
Mississippi,0.476
Missouri,0.463
Montana,0.454
Nebraska,0.435
Nevada,0.443
New Hampshire,0.441
New Jersey,0.476
New Mexico,0.477
New York,0.511
North Carolina,0.475
North Dakota,0.466
Ohio,0.464
Oklahoma,0.466
Oregon,0.462
Pennsylvania,0.469
Rhode Island,0.483
South Carolina,0.469
South Dakota,0.447
Tennessee,0.481
Texas,0.483
Utah,0.428
Vermont,0.441
Virginia,0.466
Washington,0.454
West Virginia,0.455
Wisconsin,0.44
Wyoming,0.427
