artist.inverted,track,bpm
Destiny's Child,Independent Women Part I,98.0
Santana,"Maria, Maria",98.0
Savage Garden,I Knew I Loved You,170.0
Madonna,Music,120.0
"Aguilera, Christina",Come On Over Baby (All I Want Is You),119.0
Janet,Doesn't Really Matter,99.0
Destiny's Child,Say My Name,138.0
"Iglesias, Enrique",Be With You,122.0
Sisqo,Incomplete,119.0
Lonestar,Amazed,140.0
N'Sync,It's Gonna Be Me,165.0
"Aguilera, Christina",What A Girl Wants,142.0
Vertical Horizon,Everything You Want,94.0
Creed,With Arms Wide Open,139.0
Aaliyah,Try Again,95.0
matchbox twenty,Bent,95.0
"Carey, Mariah",Thank God I Found You,130.0
"Hill, Faith",Breathe,137.0
Mya,Case Of The Ex (Whatcha Gonna Do),98.0
Dream,He Loves U Not,156.0
"Braxton, Toni",He Wasn't Man Enough,88.0
"Anthony, Marc",You Sang To Me,166.0
98¡,Give Me Just One Night (Una Noche),124.0
Destiny's Child,Jumpin' Jumpin',89.0
3 Doors Down,Kryptonite,99.0
Sisqo,Thong Song,122.0
"Aguilera, Christina",I Turn To You,127.0
"Houston, Whitney",My Love Is Your Love,83.0
Joe,I Wanna Know,136.0
"Jordan, Montell",Get It On.. Tonite,99.0
N'Sync,Bye Bye Bye,171.0
Eminem,The Real Slim Shady,105.0
Pink,Most Girls,98.0
"Mumba, Samantha",Gotta Tell You,110.0
Blaque,Bring It All To Me,89.0
"Elliott, Missy ""Misdemeanor""",Hot Boyz,
"Gray, Macy",I Try,76.0
N'Sync,This I Promise You,166.0
Ruff Endz,No More,97.0
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,168.0
Nine Days,Absolutely (Story Of A Girl),96.0
"Dion, Celine",That's The Way It Is,186.0
Blink-182,All The Small Things,149.0
Eiffel 65,Blue (Da Ba Dee),128.0
"Badu, Erkyah",Bag Lady,
Pink,There U Go,
Creed,Higher,156.0
Nelly,(Hot S**t) Country Grammar,163.0
Next,Wifey,100.0
Kenny G,Auld Lang Syne (The Millenium Mix),
Sonique,It Feels So Good,135.0
"Spears, Britney",Oops!.. I Did It Again,95.0
"Backstreet Boys, The",Shape Of My Heart,96.0
Everclear,Wonderful,187.0
Ja Rule,Between Me And You,94.0
"Rimes, LeAnn",I Need You,98.0
Smash Mouth,Then The Morning Comes,119.0
Jay-Z,I Just Wanna Love U (Give It 2 Me),98.0
Jagged Edge,Let's Get Married,110.0
Filter,Take A Picture,99.0
"Martin, Ricky",She Bangs,144.0
Mystikal,Shake Ya Ass,98.0
BBMak,Back Here,105.0
"Spears, Britney",From The Bottom Of My Broken Heart,75.0
Third Eye Blind,Never Let You Go,114.0
Red Hot Chili Peppers,Otherside,123.0
Profyle,Liar,114.0
Barenaked Ladies,Pinch Me,95.0
Jagged Edge,He Can't Love U,126.0
504 Boyz,Wobble Wobble,170.0
Sting,Desert Rose,112.0
Jay-Z,Big Pimpin',138.0
Kid Rock,Only God Knows Why,129.0
Foo Fighters,Learn To Fly,136.0
"Dixie Chicks, The",Goodbye Earl,123.0
Guy,Dancin',101.0
Lil Bow Wow,Bounce With Me,72.0
Westlife,Swear It Again,130.0
Train,Meet Virginia,90.0
"Thomas, Carl",I Wish,90.0
Hanson,This Time Around,164.0
"Simpson, Jessica",I Think I'm In Love With You,106.0
Ludacris,What's Your Fantasy,140.0
Lil' Zane,Callin' Me,107.0
M2M,Don't Say You Love Me,98.0
SoulDecision,Faded,108.0
"Brock, Chad",Yes!,127.0
"Martin, Ricky",Shake Your Bon-Bon,100.0
Vertical Horizon,You're A God,97.0
Avant,Separated,108.0
"Rimes, LeAnn",Big Deal,152.0
IMx,Stay The Night,183.0
Dr. Dre,The Next Episode,95.0
"Spears, Britney",Lucky,95.0
Savage Garden,Crash And Burn,102.0
Kandi,Don't Think I'm Not,134.0
Sammie,I Like It,130.0
Goo Goo Dolls,Broadway,133.0
"Moore, Mandy",I Wanna Be With You,150.0
Dr. Dre,Forgot About Dre,134.0
D'Angelo,Untitled (How Does It Feel),113.0
"Messina, Jo Dee",That's The Way,184.0
Avant,My First Love,126.0
Son By Four,A Puro Dolor (Purest Of Pain),134.0
Da Brat,What'Chu Like,100.0
DMX,Party Up (Up In Here),101.0
"Dixie Chicks, The",Cowboy Take Me Away,165.0
"McGraw, Tim",My Next Thirty Years,99.0
"Tritt, Travis",Best Of Intentions,99.0
Alice Deejay,Better Off Alone,137.0
Hoku,Another Dumb Blonde,124.0
"Houston, Whitney",I Learned From The Best,149.0
Counting Crows,Hanginaround,91.0
Mary Mary,Shackles (Praise You),100.0
"Carey, Mariah",Crybaby,79.0
"McGraw, Tim",My Best Friend,148.0
Sugar Ray,Falls Apart,103.0
Madonna,American Pie,124.0
"Jones, Donell",Where I Wanna Be,102.0
"Paisley, Brad",We Danced,73.0
Lonestar,What About Now,127.0
"Backstreet Boys, The",The One,99.0
"Keith, Toby",How Do You Like Me Now?!,109.0
"Strait, George",The Best Day,132.0
"Dixie Chicks, The",Without You,92.0
Musiq,Just Friends (Sunny),95.0
"McEntire, Reba",What Do You Say,171.0
"Braxton, Toni",Just Be A Man About It,109.0
"Iglesias, Enrique",Rhythm Divine,102.0
"Fabian, Lara",I Will Love Again,127.0
Bon Jovi,It's My Life,120.0
"Evans, Sara",Born To Fly,100.0
"Chesney, Kenny",I Lost It,139.0
J-Shin,One Night Stand,126.0
