artist.inverted,track,lyrics
Destiny's Child,Independent Women Part I,"Destiny's Child
Survivor
Independent Women Part I
Lucy Liu... with my girl, Drew... Cameron D. and Destiny
Charlie's Angels, Come on
Uh uh uh

Question: Tell me what you think about me
I buy my own diamonds and I buy my own rings
Only ring your cell-y when I'm feelin lonely
When it's all over please get up and leave
Question: Tell me how you feel about this
Try to control me boy you get dismissed
Pay my own fun, oh and I pay my own bills
Always 50/50 in relationships

The shoes on my feet
I've bought it
The clothes I'm wearing
I've bought it
The rock I'm rockin'
'Cause I depend on me
If I wanted the watch you're wearin'
I'll buy it
The house I live in
I've bought it
The car I'm driving
I've bought it
I depend on me
(I depend on me)

All the women who are independent
Throw your hands up at me
All the honeys who makin' money
Throw your hands up at me
All the mommas who profit dollas
Throw your hands up at me
All the ladies who truly feel me
Throw your hands up at me

Girl I didn't know you could get down like that
Charlie, how your Angels get down like that
Girl I didn't know you could get down like that
Charlie, how your Angels get down like that

Tell me how you feel about this
Do what I want live how I wanna live
I worked hard and sacrificed to get what I get
Ladies, it ain't easy bein' independent
Question: How'd you like this knowledge that I brought
Braggin' on that cash that he gave you is to front
If you're gonna brag make sure it's your money you flaunt
Depend on noone else to give you what you want

The shoes on my feet
I've bought it
The clothes I'm wearing
I've bought it
The rock I'm rockin'
'Cause I depend on me
If I wanted the watch you're wearin'
I'll buy it
The house I live in
I've bought it
The car I'm driving
I've bought it
I depend on me
(I depend on me)

All the women who are independent
Throw your hands up at me
All the honeys who makin' money
Throw your hands up at me
All the mommas who profit dollas
Throw your hands up at me
All the ladies who truly feel me
Throw your hands up at me

Girl I didn't know you could get down like that
Charlie, how your Angels get down like that
Girl I didn't know you could get down like that
Charlie, how your Angels get down like that

Destiny's Child
Wassup?
You in the house?
Sure 'nuff
We'll break these people off Angel style

Child of Destiny
Independent beauty
Noone else takes care of me
Charlie's Angels

Woah
All the women who are independent
Throw your hands up at me
All the honeys who makin' money
Throw your hands up at me
All the mommas who profit dollas
Throw your hands up at me
All the ladies who truly feel me
Throw your hands up at me

Girl I didn't know you could get down like that
Charlie, how your Angels get down like that
[repeat until fade]"
Santana,"Maria, Maria","Ladies and gents
Turn up your sound systems
To the sound of Carlos Santana
In the GMB ghetto blues
From the refugee camps

Oh Maria, Maria
She remind me of a West Side story
Growin' up in Spanish Harlem
She livin' a life just like a movie star

Oh Maria, Maria
She fell in love in East L.A.
To the sounds of the guitar yeah yeah
Played by Carlos Santana

Stop the lootin', stop the shootin'
Pick pocking on the corner
See as the rich is getting richer
The poor is getting poorer

Se mira Maria on the corner
Thinkin' of ways to make it better
In my mailbox there's an eviction letter
Somebody just said, ""See you later""
Yeah

Ahora vengo mama chola mama chola
Ahora vengo mama chola
(East Coast)
Ahora vengo mama chola mama chola
Ahora vengo mama chola

Maria, Maria
  (West Coast)
She remind me of a West Side story
Growin' up in Spanish Harlem
She livin' a life just like a movie star

Oh Maria, Maria
She fell in love in East L.A.
I said it to the sounds of the guitar yeah yeah
Played by Carlos Santana

I said a la favella, los colores
The streets are getting hotter
There is no water to put out the fire
Mi canto la esperanza

Se mira Maria on the corner
Thinkin' of ways to make it better
Then I looked up in the sky
Hopin' the days of paradise

Ahora vengo mama chola mama chola
Ahora vengo mama chola
(North side)
Ahora vengo mama chola mama chola
Ahora vengo mama chola
(South side)

Ahora vengo mama chola mama chola
Ahora vengo mama chola
(Worldwide)
Ahora vengo mama chola mama chola
Ahora vengo mama chola
(Open up your eyes)

Maria you know you're my lover
When the wind blows I can feel you
Through the weather and even when we're apart
It still feels like we're together

Maria, oh yeah
She remind me of a West Side story
Growin' up in Spanish Harlem
She livin' a life just like a movie star

Oh Maria, Maria
Oh, she fell in love in East L.A.
To the sounds of the guitar
Played by Carlos Santana

Put 'em up y'all
Carlos Santana with the refugee camp
Wyclef, Jerry ""Wonder""
Mr. Santana, GMB
Yo, Carlos man, you makin' that guitar cry"
Savage Garden,I Knew I Loved You,"Hmm ohh, I will come
Maybe it's intuition
Somethings you just don't question
Like in your eyes, I see my future in an instant
And there it goes, I think I've found my best friend

I know that it might sound
More than a little crazy
But I believe

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

There's just no rhyme or reason
Only a sense of completion
And in your eyes, I see the missing pieces
I'm searching for, I think I've found my way home

I know that it might sound
More than a little crazy
But I believe

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

Ooh hoo ooo, hoo hoo ooo ohh
A thousand angels dance around you
  (Ooh hoo, hoo ooo hoo ooo hoo hoo hoo)
I am complete now that I have found you

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

I knew I loved you before I met you, I knew I loved you
  (Ooh hoo ooo, hoo hoo ooo)
I knew I loved you before I met you, I knew I loved you
  (Ooh hoo ooo, hoo hoo hoo)
I knew I loved you before I met you
  (Oh oh, ohh ohh, oh oh oh ay ay yea oh)
I knew I loved you before I met you, I knew I loved you
I knew I loved you before I"
Madonna,Music,"{Hey Mister DJ, put a record on
I wanna dance with my lady}

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}

Hey Mister DJ, put a record on
I wanna dance with my baby
And when the music starts
I never wanna stop
It's gonna drive me crazy

Music, music, music

Music makes the people come together
Music makes the bourgeoisie and the rebels

Don't think of yesterday and I don't look at the clock
I like to boogie woogie, uh uh
It's like ridin' on the wind
And it never goes away
Touches everything I'm in
Got to have it every day

Music makes the people come together, yeah
Music makes the bourgeoisie and the rebels

Hey Mister DJ

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}

Hey Mister DJ, put a record on
I wanna dance with my baby
And when the music starts
I never wanna stop
It's gonna drive me crazy

Uh, uh, uh

Music makes the people come together, yeah
Music makes the bourgeoisie and the rebels

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}"
"Aguilera, Christina",Come On Over Baby (All I Want Is You),"Come on over, come on over baby Yeah, yeah, yeah, yeah

Hey boy don't you know
I got something going on
I've got an invitation
Don't you keep me waiting all night long

I know, you know, so baby don't
Pretend you won't, keep me guessing if you
You will or you won't
Don't wanna play that game with you baby
Said listen to me

All I want is you, come over here baby
All I want is you, you know you make me go crazy
All I want is you, now baby don't be shy
You better cross the line
I'm gonna love you right
'Cause all I want is you

Come on over, come on over baby Ohh... yeah yeah

I'm not just talking
About your sexuality (your sexuality)
But I can't help myself
When you put your hands on me
Ooh oh, ooh

It's paradise, when you and I
Get close, get tight
One on one I wanna, go all, all night
I wanna play that game with you baby
Listen to me

All I want is you, come over here baby
All I want is you (oh oh), you know you make me go crazy
All I want is you (yeah yeah), now baby don't be shy
You better cross the line
I'm gonna love you right
'Cause all I want is you

Come on over, come on over baby Ohh... yeah yeah yeah yeah

Don't you wanna be the one tonight
We could do exactly what you like
Don't you wanna be just you and me
We could do what comes so naturally
I got a thing for you
Got my mind made up (yeah)
And I'm serious, never been more baby
I'm sure that it's real (so sure)
And it's right here, uh come on

Come on, come on, come on, over Oh oh oh, yeah yeah
Yeah, yeah, yeah, yeah

You give me...
What a girl feels, what a girl likes
What a girl needs, what a girl wants

All... I...
All I want is you
Ohh, ohh baby
All I want is you, oh you make me go crazy, oh oh (woo)
All I want is you, now baby don't be shy
You better cross the line
I'm gonna love you right
'Cause all I want is you
Ohh, ohh, yeah...
All I want is you, you make me go crazy, you
All I want is you, now baby don't be shy
You better cross the line
I'm gonna love you right
'Cause all I want is you"
Janet,Doesn't Really Matter,"Hmm, he he, oh hey, doesn't matter
(It doesn't matter)
Doesn't matter at all

Doesn't matter what your friends are telling you
Doesn't matter what my family's saying too
It just matters that I'm in love with you
It only matters that you love me too

It doesn't matter if they won't accept you
I'm accepting of you and the things you do
Just as long as it's you
Nobody but you, baby, baby

My love for you, unconditional love too
Gotta get up, get up, get up, get up
Get up and show you that it

Doesn't really matter what the eye is seeing
'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're in love with me

Doesn't really matter what the eye is seeing
'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're nutty-nutty-nutty for me

(You're so kind)
Just what I asked for, you're so loving and kind
(And you're mine)
And I can't believe you're mine

Doesn't matter if you're feeling insecure
Doesn't matter if you're feeling so unsure
'Cause I'll take away the doubt within your heart
And show that my love will never hurt or harm

Doesn't matter what the pain we go through
Doesn't matter if the money's gone too
Just as long as I'm with you
Nobody but you, baby, baby

You're love for me, unconditional I see
Gotta get up, get up, get up, get up
Get up and show you that it

Doesn't really matter what the eye is seeing
'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're in love with me

Doesn't really matter what the eye is seeing
'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're nutty-nutty-nutty for me

(You're so kind)
Just what I asked for, you're so loving and kind
(And you're mine)
And I can't believe you're mine

Doesn't matter what they say
'Cause now I'm gonna love you anyway
Doesn't matter what they do
'Cause my love will always be with you

My love for you unconditional love too
Gotta get up, get up, get up, get up
Get up and show you that
My love is true and it's just for you, uh

Doesn't really matter what the eye is seeing
'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're in love with me

Doesn't really matter what the eye is seeing
'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're nutty-nutty-nutty for me

Nutty-nutty-nutty my love for you
I can't believe my dreams come true
I've finally found somebody whose heart is true
And best of all you love me to

And nutty-nutty-nutty my love for you
I can't believe my dreams come true
I've finally found somebody whose heart is true
And best of all you're nutty-nutty-nutty for me

Whoa, whoa, whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa, whoa, whoa

Whoa, whoa, whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa, whoa, whoa

Nutty-nutty-nutty my love for you
I can't believe my dreams come true
(He-he)
I've finally found somebody whose heart is true
And best of all you're nutty-nutty-nutty for me

Nutty-nutty-nutty my love for you
(I'm always doing that)
I can't believe my dreams come true
I've finally found somebody whose heart is true
And best of all you're nutty-nutty-nutty for me"
Destiny's Child,Say My Name,"Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Betta say my name

Any other day I would call you would say
""Baby how's your day?"" But today it ain't the same
Every other word is a uh hun, yeah okay
Could it be that you are at the crib wit another lady?
If you took it there, first of all let me say
""I am not the one to sit around and be played""
So prove yourself to me and the girl that your playin'
Why don't you say the things that you said to me yesterday?

I know you sayin' I'm assuming things
Something's goin' down that's the way it seems
Shouldn't be a reason why your acting strange
Nobody's holding you back from me
'Cause I know how you usually do
When you sayin' everything to me times 2
Why can't you just tell the truth?
If somebody's there tell me who

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Betta say my name

What is up wit this, tell the truth who you with?
How would you like it if I came over wit my clique?
Don't try to change it, now see you got to bounce
When 2 seconds ago you said you just got in the house
It's so hard to believe that you were home by yourself
When I just heard the voice, heard the voice of someone else
Just this question, why do you feel you got to lie?
You caught up in your game, you cannot say my name

I know you sayin' I'm assuming things
Something's goin' down that's the way it seems
Shouldn't be a reason why your acting strange
If nobody's holding you back from me
'Cause I know how you usually do
When you sayin' everything to me times 2
Why can't you just tell the truth?
If somebody's there tell me who

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Betta say my name

Yeah yeah yeah yeah
Yeah yeah yeah yeah
Yeah yeah yeah
Oh

I know you sayin' I'm assuming things
Something's goin' down that's the way it seems
Shouldn't be a reason why your acting strange
If nobody's holding you back from me
'Cause I know how you usually do
When you sayin' everything to me times 2
Why can't you just tell the truth?
If somebody's there tell me who

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Betta say my name

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Betta say my name

Thou shall know she can't love you"
"Iglesias, Enrique",Be With You,"Monday night and I feel so low
Count the hours they go so slow
I know the sound of your voice
Can save my soul

City lights, streets of gold
Look out my window to the world below
Moves so fast and it feels so cold
And I'm all alone

Don't let me die
I'm losing my mind
Baby just give me a sign

And now that you're gone
I just wanna be with you
And I can't go on
I wanna be with you
Wanna be with you

I can't sleep I'm up all night
Through these tears I try to smile
I know the touch of your hand
Can save my life

Don't let me down
Come to me now
I got to be with you some how

And now that you're gone
I just wanna be with you
And I can't go on
I wanna be with you
Wanna be with you

Don't let me down
Come to me now

I got to be with you somehow
And now that you're gone
Who am I with-out you now
I can't go on
I just wanna be with you

And now that you're gone
I just wanna be with you
And I can't go on
I wanna be with you
Wanna be with you

Just wanna be with you
And I can't go on
I wanna be with you

Just wanna be with you
Just wanna be with you

Just wanna be with you
Just wanna be with you"
Sisqo,Incomplete,"Whoo
Ooh
Oh yeah yeah
Listen

Bright lights, fancy restaurants
Everything in this world that a man could want
Got a bank account bigger than the law should allow
Still I'm lonely now

Pretty faces from the covers of the magazines
From their covers to my covers wanna lay with me
Fame and fortune still can't find
Just a grown man runnin' out of time

Even though it seems I have everything
I don't wanna be a lonely fool
All of the women, all the expensive cars
All of the money don't amount to you
So I can make believe I have everything
But I can't pretend that I don't see
That without you girl my life is incomplete
Said without you girl ahh
Listen

Your perfume, your sexy lingerie
Girl I remember it just like it was on yesterday
A Thursday you told me you had fallen in love
I wasn't sure that I was

It's been a year, winter, summer, spring and fall
But bein' without you just ain't livin' ain't nothing at all
If I could travel back in time
I'd relive the days you were mine

Even though it seems I have everything
I don't wanna be a lonely fool
All of the women, all the expensive cars
All of the money don't amount to you
I can make believe I have everything
But I can't pretend that I don't see
That without you girl my life is incomplete
Oh yeah that without you girl ahh

I just can't help lovin' you
But I loved you much too late
I'd give anything
And everything
To hear you say
That you'll stay

Even though it seems I have everything
I don't wanna be a lonely fool
All of the women, all the expensive cars
All of the money don't amount to you
I can make believe I have everything
But I can't pretend that I don't see
That without you girl my life is incomplete

Even though it seems I have everything
I don't wanna be a lonely fool
All of the women, all the expensive cars
All of the money don't amount to you
I can make believe I have everything
But I can't pretend that I don't see
That without you girl my life is incomplete

Without you girl
Without you girl my life
Without you girl my life, my life is incomplete
Without you girl my life is incomplete
Oh yeah, my life is incomplete
Oh yeah, yeah, yeah"
Lonestar,Amazed,"Every time our eyes meet
This feeling inside me
Is almost more than I can take

Baby, when you touch me
I can feel how much you love me
And it just blows me away

I've never been this close to anyone or anything
I can hear your thoughts, I can see your dreams

I don't know how you do what you do
I'm so in love with you
It just keeps getting better

I wanna spend the rest of my life
With you by my side
Forever and ever

Every little thing that you do
Baby, I'm amazed by you

The smell of your skin
The taste of your kiss
The way you whisper in the dark

Your hair all around me
Baby, you surround me
You touch every place in my heart

Oh, it feels like the first time every time
I wanna spend the whole night in your eyes

I don't know how you do what you do
I'm so in love with you
It just keeps getting better

I wanna spend the rest of my life
With you by my side
Forever and ever

Every little thing that you do
Baby, I'm amazed by you

Every little thing that you do
I'm so in love with you
It just keeps getting better

I wanna spend the rest of my life
With you by my side
Forever and ever

Every little thing that you do
Oh, every little thing that you do
Baby, I'm amazed by you"
