articleBody,bajada,headline,link,section,source,volanta
"La ex presidenta y candidata a senadora de Unidad Ciudadana, Cristina Kirchner hizo un fuerte llamado por Santiago Maldonado, el joven de 28 años desaparecido el 1 de agosto tras una represión en Chubut. “Si sos joven, si no conseguís laburo y si además estás podrido de que te paren porque no les gusta tu cara, tu vestimenta o lo que pensás”, enumeró la ex mandataria a los presentes.    Embed    .@CFKArgentina en Racing: ""Todavía no sabemos dónde está Santiago Maldonado"". pic.twitter.com/TeUpOhwcqj — El Destape (@eldestapeweb) 16 de octubre de 2017         “Si no querés vivir en un país donde un pibe desaparece, nadie se hace cargo y todavía no sabemos dónde está Santiago Maldonado”, continuó antes de pedir el voto para Unidad Ciudadana.",La ex presidenta y candidata a senadora de Unidad Ciudadana pidió por el joven de 28 años desaparecido desde el 1 de agosto durante el cierre de su campaña en Racing.,El cantito contra Clarín en medio del discurso de Cristina Kirchner,http://www.eldestapeweb.com//el-fuerte-pedido-cristina-santiago-maldonado-todavia-no-sabemos-donde-esta-n34690,Política,eldestapeweb,Elecciones 2017
"Durante el discurso de la candidata a senadora de Unidad Ciudadana en la cancha de Racing, se sintió un fuerte repudio al Grupo Clarín: “Tomala vos, damela a mí, el que no salta es de Clarín”. La ex presidenta venía de enumerar las condiciones en las que hizo campaña antes de la elección de agosto cuando el estadio en su conjunto comenzó a cantar: “Hemos hecho una hazaña aquel 13 de agosto con todos los medios de comunicación en contra. Ahora ya es escandaloso”, aseguró Cristina.     Embed    El cantito contra Clarín en medio del discurso de @CFKArgentina #CristinaEnRacing pic.twitter.com/l6FKxytgdh — El Destape (@eldestapeweb) 16 de octubre de 2017         “Con todos los medios en contra, con el aparato del Estado y todos sus recursos desplegados de manera casi obscena. Con el presidente la República y la gobernadora de la Provincia de Buenos Aires como jefes de campaña de Cambiemos en lugar de jefes de Estado de todos los argentinos”, apuntó. “Si con todo eso pudimos, vamos este 22 de octubre a llenar esas urnas de votos”, cerró ante los presentes.",Un fuerte repudio contra el grupo de medios más grande del país se escuchó durante el acto de candidata de Unidad Ciudadana en Racing.,"El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//el-cantito-contra-clarin-medio-del-discurso-cristina-kirchner-n34689,Política,eldestapeweb,Elecciones 2017
"Tras las elecciones legislativas de la semana próxima, el Gobierno encarará una serie de medidas y proyectos que incluyen algunas modificaciones en la estructura del gabinete nacional, y Mauricio Macri ya tendría elegido al posible primer desvinculado: Hernán Lombardi, titular de la secretaría de Medios Públicos. “Dan lugar para que nos peguen y no miden“, suele quejarse en las reuniones de mesa chica de Olivos Macri según difundió el portal Expediente Político. ""Durante la campaña, el noticiero público fue “tan equilibrado”, que por momentos Cristina aparecía más que Macri, y no necesariamente por sus problemas en Comodoro PY"", añade el artículo, publicado este domingo en la web. ""Hay también una ecuación económica. Creen que el canal está sobre dimensionado. Quieren revisar gente que no hace nada y vive de su estatus gremial. Lombardi amagó con una mudanza del canal a Tecnópolis que debió dar marcha atrás de inmediato"", detallaron.",Crecen los rumores en torno a la posible desvinculación de un hombre de máxima confianza del Presidente.,ESCÁNDALO | Empresario clave reveló el porcentaje de coima que pide el Gobierno,http://www.eldestapeweb.com//macri-ya-tendria-elegido-al-primer-funcionario-que-despedira-despues-las-elecciones-n34688,Política,eldestapeweb,Macri Presidente
"Con un encendido discurso que apuntó a interpelar al ciudadano perjudicado por las políticas económicas implementadas por el gobierno de Mauricio Macri y frente a 100 mil personas, la candidata Cristina Kirchner cerró oficialmente su campaña para senadora nacional en un acto masivo en el estadio Presidente Juan Domingo Perón, del Racing Club de Avellaneda. Estas fueron las 10 definiciones más contundentes de Cristina Kirchner durante su discurso:     1-Cada uno debe convencer a 2 más de ponerle un freno al Gobierno, no por nosotros, sino por el futurolos argentinos""      2-""Nos cortaron el Roca y una señal de comunicación y no pudieron. Que se notifiquen: nosotros no nos vamos a la luna""      3-""Si te prometieron cosas que no cumplieron, no votes más mentiras""      4-""Vivimos en un país donde un pibe desaparece y nadie se hace cargo. Todavía no sabemos dónde está Santiago Maldonado""      5-""Estamos a tiempo de poner un límite: no dejemos que estas políticas sigan avanzando y endeudando al país. Así no""      6-""Si Evita viviera votaría a Cristina, Perón votaría a Taiana y los dos votarían a Unidad Ciudadana""      7-""Ser peronista hoy es decir basta Macri con tanta malaria para el pueblo""      8-""Si amás Argentina no votes ajuste""      9-""Argentina no es de ellos, es del pueblo. No es una sociedad anónima, es la patria y es de todos""    10-“No vengo a prometer que no los voy a traicionar. Nunca los traicioné con mi conducta”.",La candidata a senadora cerró su campaña de cara a las elecciones del próximo domingo. Repasá sus definiciones.,"El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//las-10-frases-mas-contundentes-del-discurso-cristina-kirchner-racing-n34687,Política,eldestapeweb,Elecciones 2017
"Con un encendido discurso que apuntó a interpelar al ciudadano perjudicado por las políticas económicas implementadas por el gobierno de Mauricio Macri, la candidata Cristina Kirchner cerró oficialmente su campaña para senadora nacional en un acto masivo en el estadio Presidente Juan Domingo Perón, del Racing Club de Avellaneda. Allí, Cristina Kirchner aseguró: ""Estamos a tiempo de poner un límite: no dejemos que estas políticas sigan avanzando y endeudando al país, de decirle al Gobierno que así, no"". En este sentido, la ex mandataria le envió un claro mensaje a sus votantes de cara a la última semana de campaña electoral que resta, de aquí al domingo 22: ""Cada uno debe convencer a dos personas más de ponerle un freno al Gobierno. No por nosotros, sino por el futurolos argentinos"", expresó. Además, Cristina Kirchner resaltó que logro que fue haber resultado ganadores en las elecciones primarias y destacó: ""Hemos logrado una hazaña democrática el pasado 13 de agosto, aún con todos los medios de comunicación en contra"".","En medio de su discurso, la candidata a senadora lanzó un pedido para sus votantes.","El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//el-calculo-matematico-que-saco-cristina-kirchner-vencer-octubre-n34686,Política,eldestapeweb,Elecciones 2017
"Durante el cierre de campaña de Unidad Ciudadana, la ex mandataria y candidata a senadora en la provincia de Buenos Aires, Cristina Kirchner, se manifestó contra el Gobierno y lanzó una acusación de sabotaje para intentar hacer fracasar su acto en la cancha de Racing. Frente a unos 100.000 espectadores que se acercaron a Avellaneda para escuchar sus definiciones pre electorales, la ex Presidenta aseguró: ""Nos cortaron el Roca y una señal de comunicación y no pudieron, miren lo que somos capaces de lograr"", en clara referencia al corte del ramal de tren que llega a la zona sur ocurrido esta tarde, y al corte en una reconocida señal de telecomunicaciones que denunciaron usuarios durante toda la jornada. Frente a ello y en claro mensaje al Gobierno nacional y su ""lista negra"" que difundieron algunos periodistas oficialistas en los últimos días, Cristina Kirchner dijo: ""Que se notifiquen: nosotros no nos vamos a la luna"", lo que provocó el aplauso de todos los presentes, ya sobre el final del discurso.     Embed    #CristinaEnRacing: ""Nos cortaron el Roca y una señal de comunicación y no pudieron. Que se notifiquen: nosotros no nos vamos a la luna"" pic.twitter.com/ZzdGM7TSZR — El Destape (@eldestapeweb) 16 de octubre de 2017","En el cierre de campaña de Unidad Ciudadana, la candidata a senadora lanzó una cruda acusación contra el Gobierno que provocó la bronca de los presentes.","El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//la-denuncia-sabotaje-cristina-kirchner-medio-su-discurso-n34685,Política,eldestapeweb,Elecciones 2017
"Con un encendido discurso que apuntó a interpelar al ciudadano perjudicado por las políticas económicas implementadas por el gobierno de Mauricio Macri, la candidata Cristina Kirchner cerró oficialmente su campaña para senadora nacional en un acto masivo en el estadio Presidente Juan Domingo Perón, del Racing Club de Avellaneda. La ex Presidenta comenzó su discurso cerca de las 16:30 horas como cierre de un acto que tuvo gran parte de la liturgia peronista y que contó con más de 100 mil asistentes, que colmaron no solo la cancha de Racing, sino también las calles aledañas. Allí, Cristina Kirchner aseguró: ""Estamos a tiempo de poner un límite: no dejemos que estas políticas sigan avanzando y endeudando al país, de decirle al Gobierno que así, no"". En este sentido, Cristina Kirchner llamó a los votantes de Unidad Ciudadana a convencer a vecinos, amigos y familiares para asegurar el triunfo opositor en las elecciones del próximo domingo: ""Cada uno debe convencer a 2 más de ponerle un freno al Gobierno, no por nosotros, sino por el futuro de los argentinos"". Además, la ex mandataria llamó a toda la ciudadanía a unificar su voto para ponerle ""un freno al Gobierno"" y expresó: ""Si sos joven no votes injusticia, si sos mujer no votes desigualdad, y si sos trabajador precarización laboral. Si te prometieron cosas que no cumplieron, no votes más mentiras"". ""No queremos más que nuestros hijos vayan a hacer cola a las embajada para irse del país"", agregó en este sentido.",Frente a cien mil personas que colmaron el estadio de Racing. la candidata a senadora de Unidad Ciudadana dio su último discurso de cara a las elecciones.,"El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//cristina-kirchner-cerro-su-campana-si-amas-argentina-no-votes-ajuste-n34684,Política,eldestapeweb,Elecciones 2017
"Jorge Taiana, el compañero de fórmula de Cristina Kirchner, lanzó un efusivo discurso durante el acto de cierre de campaña de Unidad Ciudadana y llamó a unificar en Unidad Ciudadana el voto peronista que se diversificó en las PASO: ""Para un peronista no debe haber nada mejor que otro peronista y lo que queremos los peronsitas es poner en vigencia otro país"", expresó. En la previa al discurso de la ex mandataria, Taiana aseguró que el Gobierno ""quiere un pueblo de resignación pero el 22 de octubre los derrotaremos"", y anticipó que Unidad Ciudadana ""llenará las urnas de sueños"". En este sentido, Taiana pidió que en los próximos seis días los militantes salgan ""casa por casa"" a convencer a vecinos y a quienes ""no fueron a votar"" para de esta forma ""garantizar el triunfo opositor"". ""Tenemos a la mejor candidata de todas como CFK, pero tenemos que acompañarla""expresó Taiana, a lo que anticipó que ""no nos van a ganar porque tenemos una fuerza invencible: la del pueblo argentino"",",El compañero de fórmula de Cristina Kirchner lanzó un efusivo discurso y le habló al votante peronista que votó a otra fuerza en la provincia de Buenos Aires.,"El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//jorge-taiana-el-gobierno-quiere-resignacion-pero-llenaremos-las-urnas-suenos-n34683,Política,eldestapeweb,Elecciones 2017
"La candidata a senadora por el espacio Unidad Ciudadana en la provincia de Buenos Aires, Cristina Kirchner, cierra oficialmente su campaña para senadora nacional en un acto masivo en el estadio Presidente Juan Domingo Perón, del Racing Club de Avellaneda. La ex Presidenta hablará cerca de las 16:30 horas como cierre de un acto que tendrá gran parte de la liturgia peronista. Sin embargo, ya pasadas las 15 el estadio presentaba un lleno absoluto, e incluso, en sus inmediaciones tampoco entraba más nadie, pese a que el funcionamiento del tren Roca se vio sugestivamente interrumpido en el horario del acto.    Embed    Así está el estadio de Racing a la espera del discurso de cierre de campaña de la candidata de Unidad Ciudadana, Cristina Kirchner: pic.twitter.com/14EuEZhsQf — El Destape (@eldestapeweb) 16 de octubre de 2017             Embed    Organizadores de Unidad Ciudadana informan que ya hay más de 100 mil personas durante el acto de cierre de campaña. #CristinaEnRacing pic.twitter.com/LWpMny2kg4 — El Destape (@eldestapeweb) 16 de octubre de 2017         El estado abrió sus puertas a las 12, aunque los primeros actos tendrán lugar a partir de las 14:00. Se espera que hable el segundo en la lista de senadores, Jorge Taiana, como preludio al discurso de CFK, que será alrededor de las 16:30, según dijeron fuentes de Unidad Ciudadana a El Destape.","A minutos del discurso central que brindará la ex mandataria, la cancha de La Academia y sus alrededores se encuentran colapsados.","El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//impactante-asi-esta-el-estadio-racing-la-espera-cristina-kirchner-n34682,Política,eldestapeweb,
"Los militantes que asistieron a la cancha de Racing de Avellaneda armaron un impresionante pogo mientras sonaba Jijiji, el mítico tema de Patricio Rey y Sus Redonditos de Ricota. Lo hicieron minutos antes del acto de Cristina Kirchner en esa localidad bonaerense, donde hay más de cien mil personas. El llamado pogo se hizo mientras sonaba el tema emblema de Patricio Rey y sus Redonditos de Ricota, la banda argentina de rock más importante de la historia.     Embed    El pogo ciudadano más grande del mundo: la militancia cantó al ritmo de JiJiJi en el acto de #CristinaEnRacing pic.twitter.com/64VPfePf6g — El Destape (@eldestapeweb) 16 de octubre de 2017",Decenas de miles de personas deliraron con el tema del Indio Solari en la previa que aparezca la ex mandataria. Video.,"El fuerte pedido de Cristina por Maldonado: ""Todavía no sabemos dónde está""",http://www.eldestapeweb.com//el-impactante-pogo-al-ritmo-jijiji-pleno-acto-cristina-kirchner-racing-n34681,Política,eldestapeweb,Elecciones 2017
